key,value,date
CHEMBL467,0,2019-10-01
CHEMBL477,0,2019-10-01
CHEMBL1200706,0,2019-10-01
CHEMBL2336071,0,2019-10-01
CHEMBL163,0,2019-10-01
CHEMBL3182320,0,2019-10-01
CHEMBL477197,0,2019-10-01
CHEMBL1200920,0,2019-10-01
CHEMBL1200420,0,2019-10-01
CHEMBL2146090,0,2019-10-01
CHEMBL1547,0,2019-10-01
CHEMBL476960,0,2019-10-01
CHEMBL4065616,0,2019-10-01
CHEMBL250450,0,2019-10-01
CHEMBL1622,0,2019-10-01
CHEMBL318153,0,2019-10-01
CHEMBL1525826,0,2019-10-01
CHEMBL495,0,2019-10-01
CHEMBL76,0,2019-10-01
CHEMBL1040,0,2019-10-01
CHEMBL3931971,0,2019-10-01
CHEMBL1651956,0,2019-10-01
CHEMBL168,0,2019-10-01
CHEMBL1588,0,2019-10-01
CHEMBL1731319,0,2019-10-01
CHEMBL422330,0,2019-10-01
CHEMBL2106049,0,2019-10-01
CHEMBL1233147,0,2019-10-01
CHEMBL501680,0,2019-10-01
CHEMBL2051955,0,2019-10-01
CHEMBL1076347,0,2019-10-01
CHEMBL1471,0,2019-10-01
CHEMBL64391,0,2019-10-01
CHEMBL406291,0,2019-10-01
CHEMBL422704,0,2019-10-01
CHEMBL184,0,2019-10-01
CHEMBL258734,0,2019-10-01
CHEMBL3989553,0,2019-10-01
CHEMBL814,0,2019-10-01
CHEMBL446036,0,2019-10-01
CHEMBL38434,0,2019-10-01
CHEMBL1201244,0,2019-10-01
CHEMBL134005,0,2019-10-01
CHEMBL1200517,0,2019-10-01
CHEMBL631,0,2019-10-01
CHEMBL657,0,2019-10-01
CHEMBL1230191,0,2019-10-01
CHEMBL1144,0,2019-10-01
CHEMBL1272,0,2019-10-01
CHEMBL106,0,2019-10-01
CHEMBL80025,0,2019-10-01
CHEMBL1183717,0,2019-10-01
CHEMBL560511,0,2019-10-01
CHEMBL2035187,0,2019-10-01
CHEMBL1741,0,2019-10-01
CHEMBL1201782,0,2019-10-01
CHEMBL516,0,2019-10-01
CHEMBL846,0,2019-10-01
CHEMBL1675,0,2019-10-01
CHEMBL3545062,0,2019-10-01
CHEMBL1161632,0,2019-10-01
CHEMBL263881,0,2019-10-01
CHEMBL701,0,2019-10-01
CHEMBL2103744,0,2019-10-01
CHEMBL1162497,0,2019-10-01
CHEMBL1483,0,2019-10-01
CHEMBL6,0,2019-10-01
CHEMBL1651906,0,2019-10-01
CHEMBL691,0,2019-10-01
CHEMBL274119,0,2019-10-01
CHEMBL1796998,0,2019-10-01
CHEMBL2110727,0,2019-10-01
CHEMBL1078,0,2019-10-01
CHEMBL1690,0,2019-10-01
CHEMBL12198,0,2019-10-01
CHEMBL260538,0,2019-10-01
CHEMBL1200340,0,2019-10-01
CHEMBL2106517,0,2019-10-01
CHEMBL27,0,2019-10-01
CHEMBL1069,0,2019-10-01
CHEMBL2103811,0,2019-10-01
CHEMBL52440,0,2019-10-01
CHEMBL1788133,0,2019-10-01
CHEMBL985,0,2019-10-01
CHEMBL1200796,0,2019-10-01
CHEMBL278020,0,2019-10-01
CHEMBL291962,0,2019-10-01
CHEMBL1005,0,2019-10-01
CHEMBL1236315,0,2019-10-01
CHEMBL1545,0,2019-10-01
CHEMBL267225,0,2019-10-01
CHEMBL495936,0,2019-10-01
CHEMBL590799,0,2019-10-01
CHEMBL3545185,0,2019-10-01
CHEMBL153036,0,2019-10-01
CHEMBL4297654,0,2019-10-01
CHEMBL2106050,0,2019-10-01
CHEMBL129,0,2019-10-01
CHEMBL1098659,0,2019-10-01
CHEMBL2447938,0,2019-10-01
CHEMBL1256786,0,2019-10-01
CHEMBL1232767,0,2019-10-01
CHEMBL2106224,0,2019-10-01
CHEMBL191413,0,2019-10-01
CHEMBL1200995,0,2019-10-01
CHEMBL564085,0,2019-10-01
CHEMBL415606,0,2019-10-01
CHEMBL1485,0,2019-10-01
CHEMBL221959,0,2019-10-01
CHEMBL773,0,2019-10-01
CHEMBL595,0,2019-10-01
CHEMBL1042,0,2019-10-01
CHEMBL1200929,0,2019-10-01
CHEMBL566534,0,2019-10-01
CHEMBL67166,0,2019-10-01
CHEMBL131,0,2019-10-01
CHEMBL1168,0,2019-10-01
CHEMBL191083,0,2019-10-01
CHEMBL2107011,0,2019-10-01
CHEMBL1371493,0,2019-10-01
CHEMBL81379,0,2019-10-01
CHEMBL3235620,0,2019-10-01
CHEMBL1064,0,2019-10-01
CHEMBL1139,0,2019-10-01
CHEMBL186141,0,2019-10-01
CHEMBL3181832,0,2019-10-01
CHEMBL2103802,0,2019-10-01
CHEMBL35,0,2019-10-01
CHEMBL1201082,0,2019-10-01
CHEMBL1223,0,2019-10-01
CHEMBL2220442,0,2019-10-01
CHEMBL783,0,2019-10-01
CHEMBL1947204,0,2019-10-01
CHEMBL544665,0,2019-10-01
CHEMBL3707247,0,2019-10-01
CHEMBL1222250,0,2019-10-01
CHEMBL1326,0,2019-10-01
CHEMBL283800,0,2019-10-01
CHEMBL1450,0,2019-10-01
CHEMBL4297604,0,2019-10-01
CHEMBL38,0,2019-10-01
CHEMBL885,0,2019-10-01
CHEMBL633,0,2019-10-01
CHEMBL3989887,0,2019-10-01
CHEMBL1422,0,2019-10-01
CHEMBL716,0,2019-10-01
CHEMBL304087,0,2019-10-01
CHEMBL1200574,0,2019-10-01
CHEMBL1111,0,2019-10-01
CHEMBL1615807,0,2019-10-01
CHEMBL85398,0,2019-10-01
CHEMBL1908391,0,2019-10-01
CHEMBL447878,0,2019-10-01
CHEMBL407564,0,2019-10-01
CHEMBL458875,0,2019-10-01
CHEMBL3545347,0,2019-10-01
CHEMBL1200339,0,2019-10-01
